Timestamp,"
What type of OHAC membership do you have?","Overall, how would you rate your current experience as an OHAC member? 1=Poor 5=Excellent",What parts of the club currently work well for you?,What parts of the club could be improved and what could make it stronger?,What first attracted you to OHAC? Tick all that apply,What keeps you involved with OHAC now? Tick all that apply,Which OHAC activities do you currently take part in? Tick all that apply,Are you part of any informal running or training groups connected to OHAC?,"If yes, what sort of group is it?  E.g. Sunday long run, weekday easy run, track group, yoga, etc.",Are there activities or groups you think more members should know about?,What types of club activity would add the most value for you? Tick all that apply,"If more group runs were added, when would you be most likely to attend? Tick all that apply",Which locations would work best for you? Tick all that apply,What would make you more likely to attend a club run? Tick all that apply,What currently makes it harder for you to attend OHAC activities? Tick all that apply,How useful do you find these communication channels? [Website],How useful do you find these communication channels? [Facebook page],How useful do you find these communication channels? [Private Facebook group],How useful do you find these communication channels? [Club calendar],How useful do you find these communication channels? [Word of mouth],How useful do you find these communication channels? [Heja],How useful do you find these communication channels? [Other channel],What information should be easier to find? Tick any that apply,What would you like to see more of in OHAC communications?   Tick any that apply,"Suggestions for improving website, newsletter, Facebook, or calendar",What is your preferred channel or channels for communication from the club?,"What skills or experience would you be willing to share with the club (if any)   E.g. coaching, organising, communications, social media, events, photography, finance, first aid, fundraising, sponsorship, junior sport",Would you be happy for someone to contact you about your responses?,"If yes, please leave your name and contact details",Is there anything else you’d like to tell us?,Column 29
8/12/2026 20:06:40,Full competitive member,3,Tuesday night y,"1. Coaching options for seniors 
2. We can't get simple uniform items any more. Let's go to a sew on demand service 
3. Give every new senior member a singlet as part of their r membership ","Coaching or structured training, Competitive running / racing, Location / convenience","Access to events or facilities, Club history / loyalty, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Track and field, Tuesday night sessions",Yes,Sunday long runs,Sunday long runs - we need to find a way to open this up to all members,"Post-run coffee / drink / food, Race-specific training groups, Sunday long run, Quiz night or social event",Sunday morning,"Clubrooms / Northern Suburbs, City / waterfront","Different pace groups, A named run leader, A social option afterwards","Pace too slow, Work commitments",Somewhat useful,Not useful,Very useful,Very useful,Not useful,I don't use this,Useful,"Upcoming runs, Training sessions, Coaching options",Training opportunities,,We need to set up a club WhatsApp group. That way we can set up different channels for Saturday runs / Sunday long runs / Tuesday night training etc. That would give folks access to everything and the ability to opt in (rather than private channels between mates taking over),,No,,,
8/12/2026 20:16:20,Full competitive member,4,Strong junior group to train and race with. Coaching of juniors by John and Craig.,Getting more of a connection between junior members and their parents with senior members. Getting more people to help share the workload of the club.,"Club history or reputation, Coaching or structured training, Competitive running / racing, Friend/family already a member","Access to events or facilities, Coaching or advice, Racing opportunities, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Junior athletics",Yes,John and Craig Training Group,N/A,Sunday long run,"Saturday afternoon, Sunday morning",Location matters less than people/session type,"Different pace groups, Knowing the pace beforehand",Competing sports and other priorities,Useful,Useful,Very useful,Very useful,Useful,Very useful,Very useful,Junior athletics info,Junior updates,,Combo of everything including email as all channels have a purpose,Sponsorship,No,,,
8/12/2026 21:08:43,Full competitive member,2,Access to events. Newsletters and comms really good.,Access to athletics coaching.,"Coaching or structured training, Competitive running / racing, Junior athletics, Location / convenience, Track and field","Access to events or facilities, Club history / loyalty, Racing opportunities","Interclub and Club Racing / Harriers, Junior athletics, Track and field, Volunteering / officiating",No,,,"Race-specific training groups, Access to other athletics training. High jump, long jump, throws, sprints, hurdles","Weekday evening, Saturday afternoon, Sunday afternoon",Location matters less than people/session type,"Coaching or structure, Different pace groups, Easier-to-find information","Activity doesn’t match what I’m looking for, I’m not sure what’s on, I don’t know who to contact",Useful,Useful,Useful,Useful,I don't use this,Not useful,I don't use this,"Training sessions, Junior athletics info, Who to contact, What club offers runners, Volunteer opportunities","Clear info for new members, Coaching tips, Training opportunities",The website information is out of date in some areas,"Facebook, Website","Events, junior sport,",No,,,
8/13/2026 10:09:39,Full competitive member,5,"fabulouis communication, competition opportunitis and support within the club by members","A recruitment somehow of more master women and senior women.
A separate clubchamps race for cross country on an awesome cross country course, like at QU2 park or boomrock road, like we used to have several years ago. with hills and mud. 
Grand memorial is an epic event, keep it going, really is the best course. Maybe a closed handicap woiuld work better given the time frame to run this event, and the younger kids having to wait so long for their parents to complete it. This could possibly become Clubchamps with a closed handicap.",my parents took me there as a child.,"Access to events or facilities, Club history / loyalty, Racing opportunities","I Coach / Support others, Interclub and Club Racing / Harriers, Track and field",No,,,Sunday long run,Sunday morning,"Clubrooms / Northern Suburbs, Porirua / Whitby / Aotea, Location matters less than people/session type",information beforehand regarding where the run will be and the pace. I'd be keen to do some trail runs but not wanting any road.,Family commitments,I don't use this,Very useful,Very useful,Very useful,Very useful,I don't use this,I don't use this,its all pretty easy to find.,"Coaching tips, Social run info, Upcoming events, Volunteer shout-outs",i think youre doing an excellent job!,"newsletter, email.","Assisting with team selection of masters women, assisting at events when I can, happy to be more invovled in juniors - just ask me and i'll see if the role fits!.
When I was a junior we used to meet at 830am on a Sunday and go for a long run. a long run back then was about 45 - 60 minutes. I would be happy to take a group running on a trail on a Sunday morning, year 7-10 probably the target age. Te Awa uti wai for example. i would explore the local trails with them, - tawa bush, spicer, colonial knob.  Would preferably need another parent for 'tail-end charlie'  or leading, two parents better than one if running trails with a group. .  just an idea, can discuss.",Yes,katie Jenkins 0272963862 mrskatiejenkins@hotmail.com,,
8/14/2026 18:41:32,Social member,4,Socialisation,"Communication - web site needs upgrading, team leaders for different age groups to keep people informed","Club history or reputation, Coaching or structured training, Competitive running / racing, Friend/family already a member, Location / convenience, Social connection","Club history / loyalty, Volunteering / giving back",Volunteering / officiating,No,,More info re walking socialisation,"Post-run coffee / drink / food, Walking group",Saturday afternoon,Porirua / Whitby / Aotea,"A social option afterwards, Nothing — I already attend what I want",Aware of runs/walks just need to ensure colleagues are also attending,Not useful,Very useful,Very useful,Useful,Somewhat useful,I don't use this,Somewhat useful,"Social events, Results, Volunteer opportunities","Photos, Social run info, Member stories, Volunteer shout-outs, The club does pretty well in getting results out","the website is out of date, not very good at all. Facebook ok",Newsletter,Experience,Yes,Peter Denman,,
8/15/2026 19:23:31,Full competitive member,3,"Tuesday training session, Saturday pack run, races funded via membership fee","I wanted to share some thoughts that might help strengthen our club community and enhance the experience for members across all ages.

At the moment, it can sometimes feel as though our juniors (both primary and intermediate/college age) and adults operate a little separately. It would be great to explore ways to build stronger connections between these groups so the club feels more unified and inclusive for everyone.

Communication is another area where a bit more consistency could make a big difference. At times information is shared across multiple channels, duplicated, or not always easy to find. A clear communication policy—shared with members—could help ensure everyone knows where to look and feels confident they’re receiving the right information at the right time.

It would also be wonderful to celebrate our members’ achievements more visibly. This includes juniors who reach representative level (e.g., NZ Schools) and members who win regional or national titles across any discipline. A consistent approach to acknowledging success would help build pride and connection within the club.

The website could benefit from a refresh, both in terms of design and content. Some information is out of date, and key details can be hard to locate. A more modern layout with essential information prioritised would make it easier for prospective and current members to learn about the club.

Membership information is another area where clearer guidelines could help. Transparency around who pays, who receives discounts, what those discounts cover, and how these decisions are applied would support fairness and confidence across the club.

It may also be helpful to discuss a consistent approach to photography at events—particularly podiums and winners. Many clubs showcase these moments, and having a similar process could help highlight our members’ achievements and promote the club.

Regarding social media, the purpose of the public and private Facebook pages isn’t always clear. The private page appears to include non‑members, which may affect what can be shared—especially personal details like addresses for pack runs. Clarifying the role of each page and ensuring membership is accurately reflected could help with both communication and privacy. The website advertises Facebook, Twitter, Instagram and Strava, are these all actively updated/used/known by members. It would be beneficial for members to understand what each is used for. If they aren't used remove them from the website to avoid confusion. 

We also have people who attend once or twice—whether on Saturdays or Tuesdays—but don’t return. It might be worth considering whether we follow up with these runners, and whether we can learn from the newer “free” running groups that seem to attract and retain people well. Some of these groups also partner with companies to offer discounts, which could be an opportunity for us to explore.

There may also be value in running a charity initiative—such as a “bring a can” event—and inviting local media to cover it. This could help raise the club’s profile and strengthen community engagement.

On that note, it could be helpful to consider how we advertise the club more broadly. There are no formal running clubs in local areas like Tawa, Khandallah, Crofton Downs, or Ngaio. Understanding where runners in these suburbs currently go—and why—might highlight opportunities for growth.

Saturday afternoon pack runs are not heavily attended relative to membership numbers. Some members already run on Sunday mornings, so offering both Saturday afternoon and Sunday morning options could give people more flexibility and potentially increase participation.

Finally, some clubs provide pacers at Parkrun as a way to increase visibility and attract new members. This could be something for us to consider as well.

It would be helpful to understand why the adult and masters track & field awards appear to have been discontinued over the past two years. We still have members who participate in track & field, and some membership categories include this as part of their fee structure. Clarifying whether the awards are paused, being reviewed, or simply need volunteers to support them would help ensure these athletes feel recognized and included and also potentially increase participation.

The club previously offered some excellent guest‑speaker sessions, such as hearing from a nutritionist  and from a club member who had represented New Zealand. These were really valuable and seemed to be well received. They appear to have fallen away in recent years, but it could be worth considering bringing back a small number each year — perhaps two — and planning them in advance.

Topics could include practical areas such as 

Running technique and form — Improving efficiency, reducing injury risk.

Strength training for runners — What to do, how often, and why it matters.

Nutrition for endurance — Fueling before, during, and after training or races.

Mental skills for racing — Confidence, race‑day nerves, pacing mindset.

Goal setting and training planning — How to structure a season or build toward an event.

Masters‑specific training advice — Adjusting training as you age.

Junior development pathways — What helps young runners progress safely.

Trail running skills — Downhill technique, safety, gear.

Race strategy workshops — Pacing, warm‑ups, and how to approach different distances.

Sports psychology — Motivation, resilience, dealing with setbacks.

Community engagement ideas — Charity events, partnerships, visibility.

Basic biomechanics — Understanding how the body moves and how to avoid overload.

There are club members who have the knowledge and experience to be able to deliver some of these sessions. Alternatively would the club consider paying for specialists in these areas to deliver sessions. These types of sessions help build knowledge, confidence, and connection within the club. You could consider opening these sessions up to other clubs and charge a fee to increase revenue.

These ideas are shared with the intention of supporting the club’s ongoing development and helping ensure we continue to be welcoming, connected, and visible in the wider running community. 

","Coaching or structured training, Competitive running / racing, Location / convenience","Coaching or advice, Racing opportunities, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Track and field, Tuesday night sessions",No,,Is there a reason why the Thursday core session by Mark Anderson is not advertised in the Newsletter as well as social media?,"Race-specific training groups, Sunday long run, Quiz night or social event",Sunday morning,If Sunday morning were an option it would be nice to have various locations similar to the Saturday pack run,"Clear “no one left behind” approach, Different pace groups, A named run leader","Pace feels too fast, Work commitments",Somewhat useful,Not useful,Useful,Very useful,Very useful,I don't use this,I don't use this,"Upcoming runs, Upcoming races, Training sessions, Coaching options, Junior athletics info, Social events, Results, How to join, Who to contact, What club offers runners, Volunteer opportunities","Clear info for new members, Coaching tips, Junior updates, Photos, Race results, Social run info, Training opportunities, Member stories, Upcoming events, Volunteer shout-outs, Committee updates, Health and safety info,  Track & field visibility,   Volunteer opportunities,  Community engagement, Partnerships opportunities","I’ve already covered many of these points in earlier questions, but I do have a few additional comments.

Regarding the calendar, it would be helpful to clarify whether the question refers to content, format, or where the calendar is located. At the moment, there appears to be some duplication, as the calendar/syllabus is produced both as a PDF and as a month‑view and list‑view on the website. Streamlining this might reduce unnecessary work and make it easier for members to find the information they need.

It would also be useful to know whether the website provides any analytics, such as how many people visit the site, which pages are viewed most often, and which pages receive very little traffic. This type of insight is already available for Facebook, so comparing the two could help the club understand where members prefer to access information.

The newsletter's new format looks great.

The club may also wish to review its communication policy to ensure members know exactly where updates and last‑minute changes will be posted. The recent postponement of the Grand Memorial, which was advised only on Facebook, showed that not all members are aware of where to check for changes. A clear, consistent process for communicating cancellations or updates would help ensure everyone receives information in a timely way.

Having a communication policy will aid in improving website, newsletter, Facebook, and calendar as at present the people who design/deliver/update these work in isolation to each other which leads to duplication, missing or contradictory information.","In relation to communication channels, I wondered whether it was intentional that the club newsletter isn’t listed. The newsletter is currently one of the primary and most reliable methods of communication, so including it formally would help acknowledge its importance and reinforce its role.

The club website also lists Twitter, Instagram and Strava, although these aren’t shown as communication channels. Strava, in particular, has been actively used by club members recently, so it may be worth considering whether these platforms should be included or whether members find them useful.

My preferred channel is the newsletter and Facebook. 

The club may wish to review its communication policy to ensure members know exactly where updates and last‑minute changes will be posted. The recent postponement of the Grand Memorial, which was advised only on Facebook, showed that not all members are aware of where to check for changes. As a result, some still attended the event. Having a clear, consistent process for communicating cancellations or updates would help ensure everyone receives the information they need in a timely way.
","I’m not formally trained in any of the listed areas, but I’m very happy to help and support the club where I can. I would prefer for any involvement to be on a more formal or coordinated basis, so that roles are clear, duplication is avoided, and I’m not unintentionally stepping on anyone’s toes. Having structured coordination would make it easier to contribute effectively and ensure support is aligned with the club’s needs.",Yes,Linda Rawlins 029 121 5172,"Our family has really valued being part of OHAC. Since emigrating, the club has become an important part of our lives, much like the running club we belonged to in the UK. The members have always been welcoming, supportive, and great to be around — whether at training, during races, or when someone is injured and needs encouragement. The sense of community within the club is something we genuinely appreciate.",
8/17/2026 6:56:32,Full competitive member,4,Local and good junior club for the kids,Not enough members in the 20-40 year a lot of relay/team events not enough members to make a team. Other clubs more attractive for numbers,Location / convenience,Loyalty to local club and junior club,Interclub and Club Racing / Harriers,No,,,Weeknight group run,Weekday evening,Location matters less than people/session type,People under the age of 60,"Activity doesn’t match what I’m looking for, Family commitments, Pace too slow",Useful,Useful,Useful,Very useful,Not useful,Not useful,Not useful,"Who to contact, What club offers runners",Instagram and club story/reels,To attract younger members embrace Instagram / Reels.,Weekly newsletter or Facebook group,If any like minded people want to run everyday of the week - I’m here to help,Yes,Simon,Need to try something different to attract new members.. something like a free community timed races regularly. Northern suburbs are untapped.. need to get people to the club for free and then attract them to join,
8/19/2026 6:18:30,Past member,3,None,Looking after slower members of club,"Club history or reputation, Competitive running / racing, Friend/family already a member, Track and field",N/A,Not currently active,No,N/A,Track and Field,Track session,Weekday evening,Porirua / Whitby / Aotea,Clear “no one left behind” approach,"Activity doesn’t match what I’m looking for, Injury / fitness",Useful,I don't use this,I don't use this,Useful,I don't use this,I don't use this,I don't use this,Results,Coaching tips,,Email,N/A,Yes,hansonp077@gmail.com,,
8/19/2026 8:16:07,Social member,3,Regular events and junior coaching are a strength of the club,Web site and social media could be strengthened,Friend/family already a member,Supporting juniors or families,I Coach / Support others,No,"Im not closely involved, but kids coached by John and Craigs group.",,"Post-run coffee / drink / food, Race-specific training groups, Sunday long run, Saturday morning option",Weekday evening,"Clubrooms / Northern Suburbs, City / waterfront",Nothing — I already attend what I want,Family commitments,Not useful,Somewhat useful,I don't use this,Useful,Not useful,I don't use this,I don't use this,"Upcoming races, Training sessions, Coaching options, Junior athletics info","Clear info for new members, Junior updates, Photos, Race results, Training opportunities, Upcoming events","Web site needs an overhaul,.... simple and uncluttered, regularly updated and more social media updates",Why not expand into Instagram and post more frequently to drive more engagement and wider appeal,I already volunteer,Yes,chris_sutherland2004@yahoo.com.au,"Free beer will attract the punters,.....",
8/19/2026 8:39:57,Past member,1,Long time members able to meet on a Saturday afternoon for a run.,"Club runs on Saturday afternoon’s have structure and the run starts on time. 
A review/survey of the shared clubrooms to see if it meets clubs needs.  
Basic tea and coffee are available at the clubrooms are included in membership. ","Coaching or structured training, Location / convenience, Social connection",Training with others / Social connection / Friendships,Saturday club runs,No,,,Post-run coffee / drink / food,"Saturday morning, Sunday morning",Location matters less than people/session type,Coaching or structure,Activity doesn’t match what I’m looking for,Somewhat useful,Not useful,Useful,Somewhat useful,Useful,I don't use this,I don't use this,Who to contact,Social run info,,email,,No,,,
8/19/2026 10:43:06,Social member,4,"Tuesday training, cross country races, trip to Taupo","Attract more senior slow people, have group runs during the week, group runs on Sundays for different levels.
More weekend trips","Coaching or structured training, Competitive running / racing, Location / convenience, Social connection","Coaching or advice, Racing opportunities, Results and recognition, Training with others / Social connection / Friendships","Interclub and Club Racing / Harriers, Saturday club runs, Tuesday night sessions",Yes,Sunday run,,"Sunday long run, Track session, Weeknight group run, Women’s social run, Quiz night or social event, Weekend trips","Weekday early morning, Weekday evening, Sunday morning","Clubrooms / Northern Suburbs, Porirua / Whitby / Aotea","Clear “no one left behind” approach, Different pace groups, Knowing the pace beforehand, A named run leader","Injury / fitness, Pace feels too fast",Useful,Useful,I don't use this,Very useful,Very useful,I don't use this,I don't use this,Social events,"Coaching tips, Social run info",,Email,Events,Yes,Annie Van Herck annie.vherck@gmail.com,,
8/19/2026 20:23:12,life member,4,newsletter,more senior women and men,"Coaching or structured training, Competitive running / racing, Friend/family already a member, Junior athletics, Location / convenience, Social connection","Club history / loyalty, Coaching or advice, Training with others / Social connection / Friendships, Volunteering / giving back","I Coach / Support others, Junior athletics, Saturday club runs, Volunteering / officiating",No,,,"Beginner run, Post-run coffee / drink / food, Race-specific training groups, Sunday long run, Weeknight group run, Quiz night or social event","Weekday evening, Sunday morning",Location matters less than people/session type,"A flatter route, A social option afterwards","Family commitments, Injury / fitness",Somewhat useful,Useful,Useful,Useful,Somewhat useful,Somewhat useful,Not useful,"Who to contact, What club offers runners",Member stories,uniforms,newsletter email,all of the above,Yes,captain@olympicharriers.org.nz,,
